date,open_price,high_price,low_price,close_price,volume
2020-02-25T00:00:00.0000000Z,9664.87,9682.73,9234.21,9305.4,6280.00295543
2020-02-26T00:00:00.0000000Z,9305.4,9369.99,8627.78,8779.36,11564.19794381
2020-02-27T00:00:00.0000000Z,8778.37,8974.75,8520.0,8816.5,9273.9036636
2020-02-28T00:00:00.0000000Z,8816.5,8900.94,8421.49,8703.84,6546.98122765
2020-02-29T00:00:00.0000000Z,8710.0,8805.06,8525.0,8527.74,2338.06785643
2020-03-01T00:00:00.0000000Z,8525.0,8756.11,8410.0,8528.95,4156.57173933
2020-03-02T00:00:00.0000000Z,8516.0,8980.34,8486.72,8917.34,6186.86088929
2020-03-03T00:00:00.0000000Z,8917.34,8921.8,8660.04,8755.45,4629.97228611
2020-03-04T00:00:00.0000000Z,8755.45,8850.0,8663.76,8753.28,3353.2325223
2020-03-05T00:00:00.0000000Z,8757.79,9169.0,8757.79,9066.65,6448.68567336
2020-03-06T00:00:00.0000000Z,9059.0,9187.85,8990.01,9153.79,4136.42339429
2020-03-07T00:00:00.0000000Z,9154.1,9219.13,8859.49,8893.93,2805.5915714
2020-03-08T00:00:00.0000000Z,8901.12,8901.12,7995.48,8033.7,9068.89040196
2020-03-09T00:00:00.0000000Z,8035.79,8191.13,7636.0,7936.25,12177.39425093
2020-03-10T00:00:00.0000000Z,7937.2,8158.42,7733.99,7885.92,8274.9537573
2020-03-11T00:00:00.0000000Z,7893.63,7988.78,7591.99,7934.57,7289.61145281
2020-03-12T00:00:00.0000000Z,7956.29,7969.9,4776.59,4841.67,58513.38918903
2020-03-13T00:00:00.0000000Z,4841.67,5990.35,3850.0,5622.74,54419.64133553
2020-03-14T00:00:00.0000000Z,5623.16,5663.01,5051.0,5169.37,15370.8681496
2020-03-15T00:00:00.0000000Z,5167.38,5965.77,5092.34,5343.64,16589.30386378
2020-03-16T00:00:00.0000000Z,5353.04,5353.04,4435.89,5033.42,34905.46359769
2020-03-17T00:00:00.0000000Z,5051.41,5569.9,4936.0,5324.99,17517.84242049
2020-03-18T00:00:00.0000000Z,5340.95,5452.43,5006.87,5406.92,22559.23112903
2020-03-19T00:00:00.0000000Z,5413.0,6433.98,5266.38,6181.18,24783.73487365
2020-03-20T00:00:00.0000000Z,6192.94,7139.0,5670.0,6210.14,30081.979539
2020-03-21T00:00:00.0000000Z,6207.66,6461.91,5866.44,6187.78,11796.72656887
2020-03-22T00:00:00.0000000Z,6199.17,6419.0,5705.0,5813.15,10813.38456907
2020-03-23T00:00:00.0000000Z,5816.57,6629.79,5686.34,6493.51,19053.80456405
2020-03-24T00:00:00.0000000Z,6494.7,6893.0,6400.01,6768.64,19719.09402414
2020-03-25T00:00:00.0000000Z,6768.64,6989.04,6457.17,6692.22,16675.73512097
2020-03-26T00:00:00.0000000Z,6695.47,6798.89,6528.07,6760.72,7393.70723365
2020-03-27T00:00:00.0000000Z,6765.15,6872.67,6210.0,6376.03,10816.28556504
2020-03-28T00:00:00.0000000Z,6376.03,6376.03,6030.51,6253.08,11609.11822
2020-03-29T00:00:00.0000000Z,6275.11,6278.24,5869.0,5870.9,9298.9390511
2020-03-30T00:00:00.0000000Z,5878.47,6630.0,5856.0,6407.77,14974.444163
2020-03-31T00:00:00.0000000Z,6408.95,6527.24,6337.42,6421.14,6342.29832651
2020-04-01T00:00:00.0000000Z,6428.74,6710.21,6137.71,6652.07,11315.81839311
2020-04-02T00:00:00.0000000Z,6669.95,7236.39,6575.13,6801.99,17212.82067331
2020-04-03T00:00:00.0000000Z,6789.63,7047.96,6610.0,6742.57,10570.10640235
2020-04-04T00:00:00.0000000Z,6737.36,7014.0,6655.54,6879.61,6018.51563233
2020-04-05T00:00:00.0000000Z,6887.22,6914.01,6678.51,6775.2,3981.97692417
2020-04-06T00:00:00.0000000Z,6780.57,7376.59,6773.75,7352.43,13683.03789416
2020-04-07T00:00:00.0000000Z,7335.85,7469.0,7077.0,7202.73,11669.01426524
2020-04-08T00:00:00.0000000Z,7204.78,7428.95,7152.0,7367.36,8720.21050049
2020-04-09T00:00:00.0000000Z,7370.85,7376.59,7107.38,7293.93,8324.9217727
